province,region
Almería,Andalucía
Cádiz,Andalucía
Córdoba,Andalucía
Granada,Andalucía
Huelva,Andalucía
Jaén,Andalucía
Málaga,Andalucía
Sevilla,Andalucía
Huesca,Aragón
Teruel,Aragón
Zaragoza,Aragón
Asturias,"Asturias, Principado de"
"Balears, Illes","Balears, Illes"
"Palmas, Las",Canarias
"Santa Cruz de Tenerife",Canarias
Cantabria,Cantabria
Albacete,"Castilla - La Mancha"
"Ciudad Real","Castilla - La Mancha"
Cuenca,"Castilla - La Mancha"
Guadalajara,"Castilla - La Mancha"
Toledo,"Castilla - La Mancha"
Ávila,"Castilla y León"
Burgos,"Castilla y León"
León,"Castilla y León"
Palencia,"Castilla y León"
Salamanca,"Castilla y León"
Segovia,"Castilla y León"
Soria,"Castilla y León"
Valladolid,"Castilla y León"
Zamora,"Castilla y León"
Barcelona,Cataluña
Girona,Cataluña
Lleida,Cataluña
Tarragona,Cataluña
Ceuta,Ceuta
Alicante/Alacant,"Comunitat Valenciana"
Castellón/Castelló,"Comunitat Valenciana"
Valencia/Valéncia,"Comunitat Valenciana"
Badajoz,Extremadura
Cáceres,Extremadura
"Coruña, A",Galicia
Lugo,Galicia
Ourense,Galicia
Pontevedra,Galicia
Madrid,"Madrid, Comunidad de"
Melilla,Melilla
Murcia,"Murcia, Región de"
Navarra,"Navarra, Comunidad Foral de"
Álava,"País Vasco"
Guipúzcoa,"País Vasco"
Vizcaya,"País Vasco"
"Rioja, La","Rioja, La"
